Suburb,Postcode,LGA,Area,Suburb Rating,No. of Reviews,"Suburb
Yarraville,3013,City of Maribyrnong,Western,4.2,66,197,"Parks and recreation
Resale or rental value
Pest-free
Safe and sound
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",41,39,57,58,49,40,38,43,10,47.33,3.01,33.7,58.73%,77.92%,1 in 333,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Coburg,3058,City of Darebin,North,4.2,24,199,"Parks and recreation
Public transport
Internet access
Resale or rental value
Pest-free",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
Fashion Conscious",30,36,48,55,56.2,46,26,28,14,68.68,6.85,43.39,72.37%,83.50%,1 in 146,Relatively safe area,"Theft
Property damage
Breaches of orders"
Braybrook,3019,City of Maribyrnong,Western,4.2,12,201,"Peace and quiet
Pest-free
Neighbourly spirit
Cost of living
Schools",Nightlife,"Families With Kids
Singles
Professionals
Retirees
Hipsters",48,47,58,62,59,55,46,60,23,118.16,12.19,70.03,83.27%,91.18%,1 in 82,Moderately safe,"Theft
Deception
Assault and related offences"
The Basin,3154,City of Knox,East,4.2,8,202,"Clean & green
Peace and quiet
Safe and sound
Parks and recreation
Gym and fitness",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",89,72,15,21,20,82,84.4,87,10,30.24,5.56,14.68,68.21%,55.60%,1 in 180,Considered safe area,"Theft
Assault and related offences
Burglary/break and enter"
Warrandyte,3113,City of Manningham,East,4.2,17,203,"Safe and sound
Peace and quiet
Neighbourly spirit
Clean & green
Parks and recreation",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",93,80,29,37,36.2,55,90,93,10,14.8,3.43,5.78,60.51%,39.12%,1 in 292,Considered safe area,"Assault and related offences
Theft
Property damage"
Ascot Vale,3032,City of Moonee Valley,Western,4.2,30,204,"Public transport
Internet access
Resale or rental value
Parks and recreation
Clean & green",Parking,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",20,29,45,52,52.8,33,21,25,13,66.13,7.57,41.78,74.43%,82.84%,1 in 132,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Caulfield South,3162,City of Glen Eira,South East,4.2,4,205,"Parks and recreation
Safe and sound
Resale or rental value
Public transport
Schools",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",66,51,34,33,33.2,56,62.2,63.8,10,31.64,2.27,21.58,55.83%,66.08%,1 in 440,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Fairfield,3078,City of Yarra,Inner City,4.2,8,206,"Parks and recreation
Schools
Safe and sound
Eating out
Neighbourly spirit",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
Fashion Conscious",47,31,32,40,41,26,43,44,14,65.8,7.04,44.38,72.89%,84%,1 in 142,Relatively safe area,"Theft
Burglary/break and enter
Assault and related offences"
Tullamarine,3043,City of Hume & City of Merri-bek,North,4.2,6,207,"Internet access
Parking
Parks and recreation
Resale or rental value
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Singles
Retirees",63,64,59,66,68,68,64,68,20,107.08,8.61,68.77,76.83%,90.92%,1 in 116,Moderately safe,"Theft
Breaches of orders
Burglary/break and enter"
Albert Park,3206,City of Port Phillip,Inner City,4.2,25,208,"Public transport
Parks and recreation
Eating out
Schools
Internet access",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",43,26,43,42,42.8,32,38,40,12,74.45,3.64,58.9,61.24%,88.74%,1 in 275,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Watsonia,3087,City of Banyule,North,4.2,12,209,"Public transport
Parks and recreation
Schools
Internet access
Medical facilities",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",72,57,43,50,53,57,68,70,10,46.9,4.3,26.72,63.68%,72.08%,1 in 233,Considered safe area,"Theft
Breaches of orders
Property damage"
Lalor,3075,City of Whittlesea,North,4.2,24,211,"Public transport
Schools
Resale or rental value
Parks and recreation
Medical facilities",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",72,59,54,61,65,53,70,72,10,35.66,4.26,17.23,63.56%,59.86%,1 in 235,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Mount Waverley,3149,City of Monash,South East,4.2,23,212,"Internet access
Parks and recreation
Schools
Public transport
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",58,43,16,19,19,50,53,55,10,38.54,3.11,25.83,59.11%,71.30%,1 in 321,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Highett,3190,City of Bayside,South East,4.2,17,213,"Shopping options
Gym and fitness
Internet access
Parks and recreation
Safe and sound",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Beach Lovers",55,46,38,36.8,36.4,49,56,58,13,69.41,4.91,43.53,65.82%,83.69%,1 in 204,Relatively safe area,"Theft
Breaches of orders
Burglary/break and enter"
Croydon,3136,City of Maroondah,East,4.2,26,215,"Parks and recreation
Neighbourly spirit
Public transport
Clean & green
Safe and sound",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",64,52,20,26,25,70,61,63,10,37.19,5.17,16.43,66.69%,58.47%,1 in 193,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Ormond,3204,City of Glen Eira,South East,4.2,3,216,"Internet access
Safe and sound
Parking
Medical facilities
Parks and recreation",Nightlife,"Families With Kids
Professionals
Singles
LGBTQ+
Retirees",57,40,29,28,28,44,51,53,10,29.18,2.28,20.65,55.89%,64.97%,1 in 438,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Wantirna South,3152,City of Knox,East,4.2,15,217,"Schools
Childcare
Parks and recreation
Medical facilities
Pest-free",Parking,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",82,73,2,8,8,81,83,85,12,58.83,5.93,32.72,69.59%,77.21%,1 in 169,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Doreen,3754,City of Whittlesea,North,4.2,49,218,"Parks and recreation
Schools
Resale or rental value
Clean & green
Peace and quiet",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",115,86,57,65,64,72,97,99,10,18.8,3.43,8.55,60.50%,44.24%,1 in 292,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Williamstown,3016,City of Hobsons Bay,Western,4.2,22,219,"Safe and sound
Resale or rental value
Neighbourly spirit
Parks and recreation
Clean & green",No ratings yet,"Professionals
Families With Kids
Retirees
Singles
Beach Lovers",44,44,61,61,54,43,41,45,12,67.61,4.93,41.23,65.86%,82.55%,1 in 203,Relatively safe area,"Theft
Breaches of orders
Property damage"
Fawkner,3060,City of Merri-bek,North,4.2,16,220,"Schools
Parks and recreation
Safe and sound
Public transport
Medical facilities","Nightlife
Eating out","Professionals
Families With Kids
Retirees
Singles
LGBTQ+",70,55,55,63,64,61,66,67,13,52.12,7.71,25.64,74.74%,70.98%,1 in 130,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Kealba,3021,City of Brimbank,Western,4.2,7,221,"Safe and sound
Internet access
Parks and recreation
Cost of living
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Singles",58,58,65,70,63,67,55,68,12,64.17,6.2,34.41,70.49%,78.35%,1 in 161,Relatively safe area,"Theft
Breaches of orders
Assault and related offences"
St Kilda,3182,City of Port Phillip,Inner City,4.2,48,222,"Eating out
Public transport
Parks and recreation
Internet access
Nightlife",Parking,"Singles
Professionals
Families With Kids
Retirees
Hipsters",49,35,39,38,38,44,50,50,34,158.18,18.98,87.69,89.94%,93.24%,1 in 53,Relatively unsafe area,"Theft
Assault and related offences
Breaches of orders"
Dandenong,3175,City of Greater Dandenong,South East,4.2,33,223,"Public transport
Medical facilities
Parks and recreation
Cost of living
Schools",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",80,65,19,19,21,72,77,78,39,188.63,25.53,87.5,93.04%,93.21%,1 in 39,Relatively unsafe area,"Theft
Breaches of orders
Assault and related offences"
Brooklyn,3012,City of Brimbank & City of Hobsons Bay,Western,4.2,10,224,"Neighbourly spirit
Parks and recreation
Safe and sound
Internet access
Lack of traffic","Parking
Nightlife","Families With Kids
Professionals
Singles
Retirees
LGBTQ+",53,42,54,53,52,52,50,55,22,114.2,10.11,81.35,79.83%,92.62%,1 in 99,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Surrey Hills,3127,City of Boroondara,East,4.2,20,226,"Medical facilities
Schools
Internet access
Parks and recreation
Public transport",No ratings yet,"Families With Kids
Professionals
Retirees
Singles",43,30,24,28,29,46,40,41,10,23.8,1.46,17.87,53.52%,60.99%,1 in 683,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Meadow Heights,3048,City of Hume,North,4.2,18,227,"Internet access
Parking
Parks and recreation
Medical facilities
Schools",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",65,64,65,73,74.8,66,66,66,12,40.3,7.79,18.2,74.96%,61.41%,1 in 128,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Thomastown,3074,City of Whittlesea,North,4.2,27,228,"Parking
Cost of living
Internet access
Public transport
Parks and recreation","Nightlife
Eating out","Families With Kids
Professionals
Retirees
Singles
Students",68,54,52,60,62,49,66,68,15,70.72,7.56,36.92,74.42%,79.94%,1 in 132,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Cranbourne East,3977,City of Casey,South East,4.2,18,229,"Parks and recreation
Safe and sound
Clean & green
Internet access
Schools",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",103,91,34,35,33,108,102,106,10,34.85,5.67,16.98,68.57%,59.46%,1 in 176,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Coburg North,3058,City of Darebin,North,4.2,9,230,"Parks and recreation
Safe and sound
Public transport
Neighbourly spirit
Clean & green",Parking,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",37,42,50,58,57,49,33,34,16,77.58,7.69,48.76,74.65%,85.80%,1 in 130,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Elsternwick,3185,City of Glen Eira,South East,4.2,12,231,"Parking
Public transport
Resale or rental value
Safe and sound
Schools",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Tourists",48,45,35.8,35,36.4,37,42,44,12,58.33,5.14,38.12,66.58%,80.75%,1 in 194,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Camberwell,3124,City of Boroondara,East,4.2,28,232,"Parking
Internet access
Parks and recreation
Clean & green
Public transport",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",47,44,27,27,27,51,44,45,10,41.43,3.14,28.73,59.22%,74.03%,1 in 318,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Mill Park,3082,City of Whittlesea,North,4.2,21,233,"Schools
Parks and recreation
Neighbourly spirit
Peace and quiet
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",91,82,48,56,60,71,87,84,10,40.71,5.68,19.47,68.59%,63.20%,1 in 176,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Skye,3977,City of Frankston,South East,4.2,10,234,"Parks and recreation
Schools
Internet access
Resale or rental value
Clean & green",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",103,100,33,34,32,105,99,100,10,31.4,3.59,16.2,61.09%,58.01%,1 in 279,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Narre Warren North,3804,City of Casey,South East,4.2,2,235,"Shopping options
Resale or rental value
Neighbourly spirit
Clean & green
Gym and fitness",No ratings yet,"Families With Kids
Retirees",102,87,23,23,24,101,98,100,10,28.26,4.23,16.31,63.44%,58.21%,1 in 236,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Roxburg Park,3064,City of Hume,North,4.2,29,236,"Schools
Public transport
Childcare
Internet access
Gym and fitness",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",71,66,66,74,76,65,68,73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fitzroy North,3068,City of Yarra,Inner City,4.2,9,237,"Public transport
Parks and recreation
Eating out
Internet access
Gym and fitness",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
Hipsters",30,26,33,41,41,19,26,27,14,69.32,4.69,53.67,65.02%,87.37%,1 in 213,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Cranbourne West,3977,City of Casey,South East,4.1,10,238,"Schools
Public transport
Childcare
Shopping options
Medical facilities",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Hipsters",94,81,29,30,29,97,93,97.2,10,38.01,5.96,20.48,69.68%,64.72%,1 in 168,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Wantirna,3152,City of Knox,East,4.1,19,239,"Schools
Safe and sound
Peace and quiet
Parks and recreation
Clean & green",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",79,62,8,14,15,77,72,73,10,33.08,3.16,15.1,59.33%,56.26%,1 in 316,Considered safe area,"Theft
Breaches of orders
Burglary/break and enter"
Hadfield,3046,City of Merri-bek,North,4.1,11,240,"Schools
Internet access
Parking
Peace and quiet
Medical facilities",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",47,48,57,65,65.2,59,47.2,52.8,13,61.57,7.02,29.19,72.83%,74.39%,1 in 142,Relatively safe area,"Theft
Breaches of orders
Assault and related offences"
Eltham,3095,City of Banyule & Shire of Nullumbik,North,4.1,26,242,"Clean & green
Parks and recreation
Safe and sound
Internet access
Schools",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",76,59,35,42,43,61,72,78,10,25.63,2.97,13.85,58.59%,54.07%,1 in 337,Considered safe area,"Theft
Property damage
Breaches of orders"
Clyde North,3978,City of Casey,South East,4.1,17,244,"Medical facilities
Shopping options
Schools
Safe and sound
Clean & green","Lack of traffic
Cost of living
Gym and fitness","Families With Kids
Professionals
Singles
Fashion Conscious
Retirees",107,95,33,34,34,111,106,110,10,38.22,5.71,22.76,68.74%,67.64%,1 in 175,Considered safe area,"Theft
Assault and related offences
Burglary/break and enter"
Scoresby,3179,City of Knox,East,4.1,8,245,"Parking
Schools
Cost of living
Safe and sound
Parks and recreation",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
Fashion Conscious",90,80,8,4,4,88,94,96,12,59.35,4.62,30.17,64.79%,75.22%,1 in 217,Relatively safe area,"Theft
Drug use and possession
Property damage"
Newport,3015,City of Hobsons Bay,Western,4.1,19,246,"Public transport
Parking
Parks and recreation
Internet access
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",42,44,59,58,50,47,39,44,10,38.66,3.81,26.87,61.86%,72.22%,1 in 263,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Strathmore,3041,City of Moonee Valley,Western,4.1,11,247,"Parking
Internet access
Resale or rental value
Parks and recreation
Clean & green",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",55,46,55,63,63,38,48,60,10,31.63,2.23,17.71,55.71%,60.72%,1 in 449,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Frankston,3199,City of Frankston,South East,4.1,58,250,"Public transport
Schools
Parks and recreation
Safe and sound
Internet access",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Beach Lovers",95,83,39,39,39,97,92,93,29,148.8,18.03,62.76,89.27%,89.70%,1 in 55,Relatively unsafe area,"Theft
Breaches of orders
Assault and related offences"
Southbank,3006,City of Melbourne & City of Port Phillip,Inner City,4.1,20,251,"Public transport
Eating out
Nightlife
Parks and recreation
Resale or rental value",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
Fashion Conscious",22,14,41,40,39,21,21,25,27,125.54,15.02,76,86.56%,91.92%,1 in 67,Relatively unsafe area,"Theft
Assault and related offences
Property damage"
South Kingsville,3015,City of Hobsons Bay,Western,4.1,9,252,"Safe and sound
Internet access
Medical facilities
Parks and recreation
Childcare",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",51,52,58,57,50,52,49,53,10,22.26,1.86,14.84,54.50%,55.87%,1 in 539,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Burwood East,3151,City of Whitehorse,East,4.1,16,253,"Neighbourly spirit
Internet access
Safe and sound
Resale or rental value
Parks and recreation",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",66,56,12,20,19,67,62,64,11,54.15,4.96,33.91,65.98%,78.10%,1 in 201,Relatively safe area,"Theft
Burglary/break and enter
Deception"
Bundoora,3083,City of Banyule & City of Darebin,North,4.1,22,254,"Parks and recreation
Public transport
Safe and sound
Internet access
Schools","Parking
Nightlife","Families With Kids
Professionals
Retirees
Singles
Students",80,69,47,54,56.8,60,75.8,74,11,57.72,5.74,34.42,68.85%,78.36%,1 in 174,Relatively safe area,"Theft
Breaches of orders
Burglary/break and enter"
Carlton,3053,City of Melbourne,Inner City,4.1,15,256,"Eating out
Public transport
Parks and recreation
Childcare
Medical facilities",Parking,"Professionals
Singles
Families With Kids
Students
Tourists",18,22,37,44,45,9,15,18,26,137.84,10.46,98.41,80.42%,94.18%,1 in 96,Relatively unsafe area,"Theft
Burglary/break and enter
Property damage"
Clyde,3978,City of Casey,South East,4.1,11,257,"Neighbourly spirit
Schools
Parks and recreation
Safe and sound
Clean & green","Nightlife
Shopping options
Gym and fitness
Pest-free
Eating out","Families With Kids
Professionals
Retirees
Singles
LGBTQ+",117,107,36,37,37,120,117,120,12,50.55,6.8,32.75,72.23%,77.23%,1 in 147,Relatively safe area,"Theft
Assault and related offences
Burglary/break and enter"
Avondale Heights,3034,City of Moonee Valley,Western,4.1,13,258,"Parks and recreation
Parking
Safe and sound
Schools
Resale or rental value",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",61,64,58,66,66.6,65,61,63,10,26.24,3.15,12.35,59.25%,51.43%,1 in 318,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Sunshine West,3020,City of Brimbank,Western,4.1,19,259,"Parks and recreation
Public transport
Neighbourly spirit
Safe and sound
Schools",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",50,43,61,60,57,46,47,49,12,51.37,6.63,29.27,71.72%,74.43%,1 in 151,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Collingwood,3066,City of Yarra,Inner City,4.1,11,260,"Internet access
Eating out
Public transport
Resale or rental value
Neighbourly spirit",Parking,"Professionals
Singles
Families With Kids
Retirees
LGBTQ+",30,23,33,40,40,16,24,24,37,186.51,17.98,107.96,89.23%,94.83%,1 in 56,Relatively unsafe area,"Theft
Breaches of orders
Burglary/break and enter"
